-52.0	0.04236541969805153	0
-51.0	0.025912272855995885	1
-50.0	0.018918742047658973	2
-49.0	0.015870261572243017	3
-48.0	0.014076969007026758	4
-47.0	0.01282163723780958	5
-46.0	0.011925242708482095	6
-45.0	0.011207705398275022	7
-44.0	0.010759391248159542	8
-43.0	0.010221255123982854	9
-42.0	0.009862893320163222	10
-41.0	0.009593858975032107	11
-40.0	0.009324860594655374	12
-39.0	0.009145571798482414	13
-38.0	0.008876658834397323	14
-37.0	0.008697100302566528	15
-36.0	0.008607768348283723	16
-35.0	0.008428142382538478	17
-34.0	0.008249096348457578	18
-33.0	0.008159301347962146	19
-32.0	0.00815916648013322	20
-31.0	0.00798008448129795	21
-30.0	0.007890293976396814	22
-29.0	0.007800543931844343	23
-28.0	0.007711176012807159	24
-27.0	0.0077106725062458525	25
-26.0	0.007621174214974042	26
-25.0	0.007621016869173634	27
-24.0	0.007531896207822802	28
-23.0	0.007441737064189283	29
-22.0	0.007442231579561983	30
-21.0	0.00744173706418928	31
-20.0	0.007352566951301171	32
-19.0	0.0072623718429132705	33
-18.0	0.007352584933678365	34
-17.0	0.007262434781233436	35
-16.0	0.0072628124111544096	36
-15.0	0.007172864560452868	37
-14.0	0.007172815108915598	38
-13.0	0.007172985941498898	39
-12.0	0.007173044384224764	40
-11.0	0.007173219712402354	41
-10.0	0.007083195436597753	42
-9.0	0.007173048879819064	43
-8.0	0.00708339773834114	44
-7.0	0.007083163967437672	45
-6.0	0.007083568570924436	46
-5.0	0.007083105524711806	47
-4.0	0.007083465172255601	48
-3.0	0.007083325808832372	49
-2.0	0.007083235896946427	50
-1.0	0.007038702539836802	51
0.0	0.007038230502435576	52
1.0	0.007083550588547247	51
2.0	0.007083222410163536	50
3.0	0.007083136993871895	49
4.0	0.007083222410163538	48
5.0	0.007083060568768832	47
6.0	0.007083388747152541	46
7.0	0.007083406729529734	45
8.0	0.007172846578075685	44
9.0	0.0070835775621130295	43
10.0	0.00717271171024675	42
11.0	0.007173179252053684	41
12.0	0.00717286456045287	40
13.0	0.007173062366601957	39
14.0	0.0071730353930361665	38
15.0	0.007262569649062358	37
16.0	0.007262771950805733	36
17.0	0.007352067940334168	35
18.0	0.007262524693119378	34
19.0	0.007352418596689361	33
20.0	0.007442186623619016	32
21.0	0.007441849454046709	31
22.0	0.007442096711733071	30
23.0	0.007531518577901828	29
24.0	0.007621484410980563	28
25.0	0.007621088798682392	27
26.0	0.007711153534835668	26
27.0	0.007710861321206337	25
28.0	0.007800615861353108	24
29.0	0.007890356914716973	23
30.0	0.007979747311725648	22
31.0	0.008159139506567438	21
32.0	0.008159144002161741	20
33.0	0.00824890753349709	19
34.0	0.00842838064903623	18
35.0	0.00860762448926621	17
36.0	0.00869719021445248	16
37.0	0.00887656442691708	15
38.0	0.009145540329322334	14
39.0	0.009324856099061075	13
40.0	0.009593962373700946	12
41.0	0.009862857355408844	11
42.0	0.01022148889488631	10
43.0	0.010759602541091519	9
44.0	0.011207822283726755	8
45.0	0.011924784157863763	7
46.0	0.012821821557175773	6
47.0	0.014076986989403939	5
48.0	0.015870063766093942	4
49.0	0.018918661126961615	3
50.0	0.025912317811938868	2
51.0	0.042365298317005494	0
